configuration_id,TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
Default,br.com.swconsultoria.nfe.util.CancelamentoUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.745798319327731,60,43,6,64,0.23529411764705882
Default,br.com.swconsultoria.nfe.schema.envConfRecebto.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.ModalOutro,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,39,39,6,16,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvEpec.ObjectFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,237,204,32,67,1.0
Default,br.com.swconsultoria.nfe.util.XmlNfeUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6860343429840584,779,505,72,1228,0.1935483870967742
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TEndereco,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,349,349,33,89,0.9947643979057592
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TIpi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,271,271,30,84,0.865979381443299
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.TransformType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,36,33,5,16,1.0
Default,br.com.swconsultoria.nfe.schema_4.consReciNFe.TNfeProc,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,48,48,8,23,0.6666666666666666
Default,br.com.swconsultoria.nfe.schema.consCad.TRetConsCad,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9948586118251928,656,640,54,145,0.6683804627249358
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.TransformsType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18,1,8,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvConfRecebto.TUfEmi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvEventoAtorInteressado.SignatureType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62,9,26,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.TUf,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,15,45,0.9
Default,br.com.swconsultoria.nfe.util.ConfiguracoesUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.36904761904761907,81,17,5,7,0.0
Default,br.com.swconsultoria.nfe.schema_4.retConsSitNFe.TUfEmi,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,20,14,4,5,1.0
Default,br.com.swconsultoria.nfe.schema.envcce.KeyInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,34,34,5,14,1.0
Default,br.com.swconsultoria.nfe.schema.retenvcce.TEnvEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,55,52,8,25,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvEventoCancNFe.TProcEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,48,48,7,20,1.0
Default,br.com.swconsultoria.nfe.schema.envEpec.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema_4.retConsSitNFe.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,15,44,0.8
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.KeyInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,34,34,5,14,1.0
Default,br.com.swconsultoria.nfe.schema_4.consSitNFe.TransformsType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18,2,9,1.0
Default,br.com.swconsultoria.nfe.schema_4.retConsReciNFe.SignatureValueType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,6,18,1.0
Default,br.com.swconsultoria.nfe.schema.cce.TEnvEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,55,52,8,25,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaInternaliza.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,15,42,0.8
Default,br.com.swconsultoria.nfe.schema_4.retConsSitNFe.KeyInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,34,34,5,14,1.0
Default,br.com.swconsultoria.nfe.schema.resevento.ReferenceType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,128,128,21,59,0.9047619047619048
Default,br.com.swconsultoria.nfe.schema.retEnvEventoAtorInteressado.ReferenceType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,128,128,18,51,1.0
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TransformType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,36,33,5,16,1.0
Default,br.com.swconsultoria.nfe.schema.retEnvEventoAtorInteressado.TProcEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,48,48,8,23,0.6666666666666666
Default,br.com.swconsultoria.nfe.schema.envEventoCancNFe.TransformsType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,21,18,2,9,1.0
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TInfRespTec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,135,135,19,53,0.8913043478260869
Default,br.com.swconsultoria.nfe.Validar,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8464124215577704,238,208,20,60,0.06976744186046512
